match_date,season,team1,team2,winner,rest_t1,rest_t2,rest_diff,t1_won
2009-05-14,2009,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,2,3,-1,0
2009-05-15,2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,2,3,-1,0
2009-05-16,2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,3,4,-1,1
2009-05-16,2009,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,2,2,0,1
2009-05-17,2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,2,3,-1,1
2009-05-17,2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,1,2,-1,0
2009-05-18,2009,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,2,2,0,0
2009-05-19,2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,5,2,3,1
2009-05-20,2009,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,2,3,-1,1
2009-05-20,2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,2,3,-1,1
2009-05-21,2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,2,5,-3,1
2009-05-21,2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,2,4,-2,1
2009-05-22,2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,1,1,0,0
2009-05-23,2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,2,3,-1,1
2009-05-24,2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,1,2,-1,0
2010-03-15,2010,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,2,2,0,0
2010-03-16,2010,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,2,3,-1,1
2010-03-16,2010,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,2,2,0,0
2010-03-17,2010,Delhi Daredevils,Mumbai Indians,Mumbai Indians,2,4,-2,0
2010-03-18,2010,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,2,3,-1,1
2010-03-19,2010,Deccan Chargers,Kings XI Punjab,Deccan Chargers,5,3,2,1
2010-03-19,2010,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2010-03-20,2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,2,4,-2,1
2010-03-20,2010,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,3,2,1,0
2010-03-21,2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers,2,2,0,1
