match_date,season,team1,team2,winner,rest_t1,rest_t2,rest_diff,t1_won
2017-04-30,2017,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,2,2,0,1
2017-05-01,2017,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,2,4,-2,1
2017-05-01,2017,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,7,2,5,1
2017-05-02,2017,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,2,2,0,1
2017-05-03,2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,3,2,1,0
2017-05-04,2017,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,2,3,-1,1
2017-05-05,2017,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,4,5,-1,0
2017-05-06,2017,Delhi Daredevils,Mumbai Indians,Mumbai Indians,2,5,-3,0
2017-05-06,2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,4,3,1,0
2017-05-07,2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,2,4,-2,0
2017-05-07,2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions,2,3,-1,0
2017-05-08,2017,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,2,2,0,1
2017-05-09,2017,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,2,2,0,1
2017-05-10,2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,3,4,-1,0
2017-05-11,2017,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,3,2,1,0
2017-05-12,2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,2,6,-4,1
2017-05-13,2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,4,2,2,0
2017-05-13,2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,3,5,-2,0
2017-05-14,2017,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,2,3,-1,1
2017-05-14,2017,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,2,7,-5,0
2017-05-16,2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,3,2,1,0
2017-05-17,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,4,4,0,0
2017-05-19,2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,3,2,1,1
2017-05-21,2017,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,2,5,-3,1
2018-04-10,2018,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2018-04-11,2018,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,2,3,-1,1
2018-04-12,2018,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,5,3,2,0
2018-04-13,2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,5,5,0,0
2018-04-14,2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,4,2,2,0
2018-04-14,2018,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,2,3,-1,0
2018-04-15,2018,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,2,5,-3,1
2018-04-15,2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,4,2,2,1
2018-04-16,2018,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,2,2,0,1
2018-04-17,2018,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,3,2,1,1
2018-04-18,2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,3,2,1,0
2018-04-19,2018,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,4,5,-1,1
2018-04-20,2018,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,5,2,3,1
2018-04-21,2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,5,4,1,0
2018-04-21,2018,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,3,2,1,0
2018-04-22,2018,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,2,3,-1,1
2018-04-22,2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,5,2,3,0
2018-04-23,2018,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,2,2,0,1
2018-04-24,2018,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,2,2,0,1
2018-04-25,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,4,3,1,0
2018-04-26,2018,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,2,3,-1,1
2018-04-27,2018,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,4,6,-2,1
2018-04-28,2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,3,4,-1,0
2018-04-29,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,4,2,2,0
2018-04-29,2018,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,3,7,-4,1
2018-04-30,2018,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,2,3,-1,1
2018-05-01,2018,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2,3,-1,1
2018-05-02,2018,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,2,3,-1,1
2018-05-03,2018,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,3,4,-1,0
2018-05-04,2018,Kings XI Punjab,Mumbai Indians,Mumbai Indians,8,3,5,0
2018-05-05,2018,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,3,6,-3,0
2018-05-05,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,4,2,2,0
2018-05-06,2018,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,4,2,2,0
2018-05-06,2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,2,3,-1,1
2018-05-07,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,2,2,0,1
2018-05-08,2018,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,2,2,0,1
2018-05-09,2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,3,3,0,1
2018-05-10,2018,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,5,3,2,0
2018-05-11,2018,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,6,3,3,0
2018-05-12,2018,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,3,4,-1,1
2018-05-12,2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,2,5,-3,0
2018-05-13,2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,4,2,2,0
2018-05-13,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,3,2,1,0
2018-05-14,2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,2,2,0,0
2018-05-15,2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,2,3,-1,0
2018-05-16,2018,Mumbai Indians,Kings XI Punjab,Mumbai Indians,3,2,1,1
2018-05-17,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,3,4,-1,1
2018-05-18,2018,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,6,5,1,1
2018-05-19,2018,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,2,4,-2,0
2018-05-19,2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,4,2,2,1
2018-05-20,2018,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,4,2,2,0
2018-05-20,2018,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,2,4,-2,1
2018-05-22,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,3,2,1,0
2018-05-23,2018,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,4,4,0,1
2018-05-25,2018,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,3,2,1,1
2018-05-27,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,2,5,-3,0
2019-03-26,2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2019-03-27,2019,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,3,2,1,1
2019-03-28,2019,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,4,5,-1,1
2019-03-29,2019,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,4,5,-1,0
2019-03-30,2019,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,2,3,-1,0
2019-03-31,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,2,3,-1,1
2019-03-31,2019,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,5,2,3,1
2019-04-01,2019,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,2,6,-4,1
2019-04-02,2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,2,2,0,0
2019-04-03,2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,4,3,1,1
2019-04-04,2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,3,4,-1,0
2019-04-05,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,3,9,-6,0
2019-04-06,2019,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,3,2,1,1
2019-04-06,2019,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,3,5,-2,1
2019-04-07,2019,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,2,3,-1,0
2019-04-07,2019,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,5,2,3,0
2019-04-08,2019,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,2,2,0,0
2019-04-09,2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2019-04-10,2019,Kings XI Punjab,Mumbai Indians,Mumbai Indians,2,4,-2,0
2019-04-11,2019,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,4,2,2,0
2019-04-12,2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,3,5,-2,0
2019-04-13,2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,3,2,1,0
2019-04-13,2019,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,3,6,-3,0
2019-04-14,2019,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,2,6,-4,1
2019-04-14,2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2019-04-15,2019,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2,2,0,0
2019-04-16,2019,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,3,3,0,1
2019-04-17,2019,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,3,3,0,0
2019-04-18,2019,Mumbai Indians,Delhi Capitals,Mumbai Indians,3,4,-1,1
2019-04-19,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,4,5,-1,1
2019-04-20,2019,Kings XI Punjab,Delhi Capitals,Delhi Capitals,4,2,2,0
2019-04-20,2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,2,4,-2,0
2019-04-21,2019,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,2,4,-2,1
2019-04-21,2019,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,2,4,-2,0
2019-04-22,2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals,2,2,0,0
2019-04-23,2019,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,2,2,0,0
2019-04-24,2019,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,3,4,-1,1
2019-04-25,2019,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,4,3,1,0
2019-04-26,2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,6,3,3,1
2019-04-27,2019,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,4,2,2,0
2019-04-28,2019,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,6,4,2,1
2019-04-28,2019,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,3,2,1,1
2019-04-29,2019,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,2,5,-3,1
2019-05-01,2019,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,5,3,2,1
2019-05-03,2019,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,4,5,-1,0
2019-05-04,2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals,7,3,4,0
2019-05-04,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,5,6,-1,0
2019-05-05,2019,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,2,7,-5,0
2019-05-05,2019,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,4,2,2,0
2019-05-07,2019,Chennai Super Kings,Mumbai Indians,Mumbai Indians,2,2,0,0
2019-05-08,2019,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,4,4,0,0
2019-05-10,2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2019-05-12,2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,5,2,3,1
2020-09-26,2020,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,5,3,2,0
2020-09-27,2020,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,3,5,-2,0
2020-09-29,2020,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,3,4,-1,1
2020-09-30,2020,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,4,3,1,1
2020-10-01,2020,Mumbai Indians,Kings XI Punjab,Mumbai Indians,8,4,4,1
2020-10-02,2020,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,3,7,-4,1
2020-10-03,2020,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,4,3,1,1
2020-10-03,2020,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,3,9,-6,0
2020-10-04,2020,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,3,2,1,1
2020-10-04,2020,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,3,2,1,0
2020-10-05,2020,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,2,2,0,1
2020-10-06,2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians,2,3,-1,1
2020-10-07,2020,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,4,3,1,1
2020-10-08,2020,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,4,4,0,1
2020-10-09,2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals,4,3,1,1
2020-10-10,2020,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,3,2,1,1
2020-10-10,2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,5,3,2,1
2020-10-11,2020,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,3,2,1,0
2020-10-11,2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,2,5,-3,0
2020-10-12,2020,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,2,2,0,1
2020-10-13,2020,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,3,2,1,1
2020-10-14,2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals,3,3,0,1
2020-10-15,2020,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,3,5,-2,0
2020-10-16,2020,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,4,5,-1,0
2020-10-17,2020,Chennai Super Kings,Delhi Capitals,Delhi Capitals,4,3,1,0
2020-10-17,2020,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,3,2,1,0
2020-10-19,2020,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,2,2,0,0
2020-10-20,2020,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,3,5,-2,0
2020-10-21,2020,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,5,4,1,0
2020-10-22,2020,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,3,9,-6,0
2020-10-23,2020,Chennai Super Kings,Mumbai Indians,Mumbai Indians,4,7,-3,0
2020-10-24,2020,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,4,2,2,1
2020-10-24,2020,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,3,4,-1,1
2020-10-25,2020,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,2,3,-1,0
2020-10-25,2020,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,4,2,2,0
2020-10-26,2020,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,2,2,0,0
2020-10-27,2020,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,3,3,0,1
2020-10-28,2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,3,3,0,0
2020-10-29,2020,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,3,4,-1,0
2020-10-30,2020,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,4,5,-1,0
2020-10-31,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,3,4,-1,0
2020-10-31,2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,4,3,1,0
2020-11-01,2020,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2020-11-01,2020,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,3,2,1,1
2020-11-02,2020,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,2,2,0,0
2020-11-03,2020,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,3,3,0,0
2020-11-05,2020,Mumbai Indians,Delhi Capitals,Mumbai Indians,2,3,-1,1
2020-11-06,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,4,3,1,0
2020-11-08,2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,3,2,1,1
2020-11-10,2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,2,5,-3,0
2021-04-13,2021,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,4,2,2,1
2021-04-14,2021,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,5,3,2,1
2021-04-15,2021,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,5,3,2,0
2021-04-16,2021,Punjab Kings,Chennai Super Kings,Chennai Super Kings,4,6,-2,0
2021-04-17,2021,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,4,3,1,1
2021-04-18,2021,Punjab Kings,Delhi Capitals,Delhi Capitals,2,3,-1,0
2021-04-18,2021,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,4,5,-1,1
2021-04-19,2021,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,3,4,-1,1
2021-04-20,2021,Mumbai Indians,Delhi Capitals,Delhi Capitals,3,2,1,0
2021-04-21,2021,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,3,4,-1,0
2021-04-21,2021,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2,3,-1,1
2021-04-22,2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,3,4,-1,0
2021-04-23,2021,Mumbai Indians,Punjab Kings,Punjab Kings,3,2,1,0
2021-04-24,2021,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,3,2,1,0
2021-04-25,2021,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,4,3,1,1
2021-04-26,2021,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,3,2,1,0
2021-04-27,2021,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,2,7,-5,1
2021-04-28,2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,7,3,4,0
2021-04-29,2021,Rajasthan Royals,Mumbai Indians,Mumbai Indians,5,6,-1,0
2021-04-29,2021,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,3,2,1,0
2021-04-30,2021,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,4,3,1,1
2021-05-01,2021,Chennai Super Kings,Mumbai Indians,Mumbai Indians,3,2,1,0
2021-05-02,2021,Punjab Kings,Delhi Capitals,Delhi Capitals,2,3,-1,0
2021-05-02,2021,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,3,4,-1,1
2021-09-19,2021,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,141,141,0,1
2021-09-20,2021,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,143,144,-1,0
2021-09-21,2021,Rajasthan Royals,Punjab Kings,Rajasthan Royals,142,142,0,1
2021-09-22,2021,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,143,143,0,0
2021-09-23,2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,4,3,1,0
2021-09-24,2021,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,4,5,-1,0
2021-09-25,2021,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,4,3,1,1
2021-09-25,2021,Delhi Capitals,Rajasthan Royals,Delhi Capitals,3,4,-1,1
2021-09-26,2021,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2,3,-1,1
2021-09-26,2021,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,3,2,1,0
2021-09-27,2021,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,2,2,0,0
2021-09-28,2021,Punjab Kings,Mumbai Indians,Mumbai Indians,3,2,1,0
2021-09-28,2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,3,2,1,0
2021-09-29,2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,2,3,-1,0
2021-09-30,2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,3,4,-1,0
2021-10-01,2021,Kolkata Knight Riders,Punjab Kings,Punjab Kings,3,3,0,0
2021-10-02,2021,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,2,3,-1,0
2021-10-02,2021,Mumbai Indians,Delhi Capitals,Delhi Capitals,4,4,0,0
2021-10-03,2021,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,3,2,1,0
2021-10-03,2021,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,4,2,2,1
2021-10-04,2021,Chennai Super Kings,Delhi Capitals,Delhi Capitals,2,2,0,0
2021-10-05,2021,Rajasthan Royals,Mumbai Indians,Mumbai Indians,3,3,0,0
2021-10-06,2021,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,3,3,0,1
2021-10-07,2021,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,4,2,2,1
2021-10-07,2021,Chennai Super Kings,Punjab Kings,Punjab Kings,3,4,-1,0
2021-10-08,2021,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,3,2,1,1
2021-10-08,2021,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,4,2,2,0
2021-10-10,2021,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2021-10-11,2021,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,3,4,-1,0
2021-10-13,2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,3,2,1,0
2021-10-15,2021,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,5,2,3,1
2022-03-30,2022,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,4,3,1,0
2022-03-31,2022,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,5,3,2,0
2022-04-01,2022,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,5,2,3,0
2022-04-02,2022,Gujarat Titans,Delhi Capitals,Gujarat Titans,5,6,-1,1
2022-04-02,2022,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,4,6,-2,1
2022-04-03,2022,Punjab Kings,Chennai Super Kings,Punjab Kings,2,3,-1,1
2022-04-04,2022,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,4,6,-2,1
2022-04-05,2022,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,3,6,-3,0
2022-04-06,2022,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,4,5,-1,0
2022-04-07,2022,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,5,3,2,0
2022-04-08,2022,Punjab Kings,Gujarat Titans,Gujarat Titans,5,6,-1,0
2022-04-09,2022,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,3,4,-1,0
2022-04-09,2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,6,5,1,0
2022-04-10,2022,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,3,4,-1,1
2022-04-10,2022,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,5,3,2,1
2022-04-11,2022,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,3,2,1,0
2022-04-12,2022,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,3,3,0,1
2022-04-13,2022,Punjab Kings,Mumbai Indians,Punjab Kings,5,4,1,1
2022-04-14,2022,Gujarat Titans,Rajasthan Royals,Gujarat Titans,3,4,-1,1
2022-04-15,2022,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,5,4,1,0
2022-04-16,2022,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,4,6,-2,1
2022-04-16,2022,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,6,3,3,1
2022-04-17,2022,Chennai Super Kings,Gujarat Titans,Gujarat Titans,5,3,2,0
2022-04-17,2022,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,4,2,2,0
2022-04-18,2022,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,4,3,1,1
2022-04-19,2022,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,3,3,0,1
2022-04-20,2022,Punjab Kings,Delhi Capitals,Delhi Capitals,3,4,-1,0
2022-04-21,2022,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,5,4,1,0
2022-04-22,2022,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,4,2,2,1
2022-04-23,2022,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,6,5,1,1
2022-04-23,2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,4,6,-2,0
2022-04-24,2022,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,5,3,2,1
2022-04-25,2022,Punjab Kings,Chennai Super Kings,Punjab Kings,5,4,1,1
2022-04-26,2022,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,4,3,1,1
2022-04-27,2022,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,4,4,0,0
2022-04-28,2022,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,5,6,-1,0
2022-04-29,2022,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,5,4,1,1
2022-04-30,2022,Rajasthan Royals,Mumbai Indians,Mumbai Indians,4,6,-2,0
